Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.53195199,0.003723371097,3,E15 3NB
Abbey Wood,547297,179002,51.4907841,0.1202719698,4,SE2 9RH
Acton Central,520613,180299,51.50875778,-0.2634301994,2,W3 6BD
Acton Main Line,520296,181196,51.51688693,-0.2676899522,3,W3 0BP
Acton Town,519457,179639,51.50307144,-0.2803027014,3,W3 8HN
Addington Village,537082,163744,51.35623859,-0.03266510039,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.37980829,-0.07321328283,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.43581561,0.1264446378,5,DA5 3HP
Aldgate,533629,181246,51.51434238,-0.07562691265,1,EC3N 1AH
Aldgate East,533809,181333,51.51508162,-0.07300146273,1,E1 7PT
Alexandra Palace,530300,190498,51.59826282,-0.1201489722,3,N22 7ST
All Saints,538012,180933,51.51047692,-0.01262488537,2,E14 0EH
Alperton,518025,183849,51.54120927,-0.2995157587,4,HA0 4LL
Amersham,496454,198181,51.67412932,-0.6065137894,9,HP6 5AZ
Ampere Way,530674,166476,51.38229942,-0.1236367993,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.41251672,-0.06513710012,4,SE20 8AG
Angel,531497,183263,51.53296802,-0.1055814489,1,N1 8XB
Angel Road,535204,192202,51.61242032,-0.04873291937,4,N18 3AY
Archway,529356,186827,51.56549053,-0.1351215767,"2,3",N19 5RQ
Arena,535192,167620,51.39152275,-0.05831855008,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.61623014,-0.1342702188,4,N11 1AN
Arsenal,531429,186107,51.55854138,-0.1054999336,2,N5 1LP
Avenue Road,535764,169335,51.40679798,-0.04944693711,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.52312962,-0.1569041944,1,NW1 5LA
Balham,528482,173195,51.44318256,-0.1526851633,3,SW12 9SG
Bank,532704,181111,51.51334706,-0.08900012395,1,EC3V 3LA
Banstead,524590,160426,51.32929312,-0.2131323362,6,SM7 1RB
Barbican,532079,181859,51.52021528,-0.09772157864,1,EC1A 4JA
Barking,544405,184343,51.53952111,0.08083161001,4,IG11 8TU
Barkingside,544788,189510,51.58585061,0.08847663964,4,IG6 1NB
Barnehurst,550206,176193,51.46478029,0.1609480224,6,DA7 6HQ
Barnes,522209,175705,51.46712777,-0.242033062,3,SW13 0LW
Barnes Bridge,521478,176255,51.47222805,-0.252362617,3,SW13 0NR
Barons Court,524133,178322,51.49022868,-0.2134301451,2,W14 9DP
Battersea Park,528703,176999,51.47731832,-0.1481237617,2,SW8 4NB
Bayswater,525845,180799,51.51211129,-0.1879015739,1,W2 4QH
Beckenham Hill,538002,171379,51.42462606,-0.01649576198,4,SE6 3NU
