,span_class,small_class,title,ticket_ref,other,group,status,url
0,"<span class=""sc-kjKmiN iWKWoC"">Analysis into typing time in Zendesk</span>","<small class=""sc-dwLhYX iVsqEk""><span>PA-1194</span><span>·</span><span>Product Analytics</span></small>",Analysis into typing time in Zendesk,PA-1194,·,Product Analytics,On Hold (Action),https://justeattakeaway.atlassian.net/browse/PA-1194
1,"<span class=""sc-kjKmiN iWKWoC"">Add re-open rate view to async contacts dashboard</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4340</span><span>·</span><span>Business Intelligence</span></small>",Add re-open rate view to async contacts dashboard,BUS-4340,·,Business Intelligence,Reopened,https://justeattakeaway.atlassian.net/browse/BUS-4340
2,"<span class=""sc-kjKmiN iWKWoC"">Interim snapshot numbers for offline bad items queue</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4284</span><span>·</span><span>Business Intelligence</span></small>",Interim snapshot numbers for offline bad items queue,BUS-4284,·,Business Intelligence,Pending,https://justeattakeaway.atlassian.net/browse/BUS-4284
3,"<span class=""sc-kjKmiN iWKWoC"">Async SLA First Response Fix and Investigation</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4283</span><span>·</span><span>Business Intelligence</span></small>",Async SLA First Response Fix and Investigation,BUS-4283,·,Business Intelligence,Work in progress,https://justeattakeaway.atlassian.net/browse/BUS-4283
4,"<span class=""sc-kjKmiN iWKWoC"">Ingest data for Offline Queries - Bad &amp; Incorrect Items view</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4197</span><span>·</span><span>Business Intelligence</span></small>",Ingest data for Offline Queries - Bad & Incorrect Items view,BUS-4197,·,Business Intelligence,Work in progress,https://justeattakeaway.atlassian.net/browse/BUS-4197
5,"<span class=""sc-kjKmiN iWKWoC"">Async Dashboard: Phase 2</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4556</span><span>·</span><span>Business Intelligence</span></small>",Async Dashboard: Phase 2,BUS-4556,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4556
6,"<span class=""sc-kjKmiN iWKWoC"">Investigate user-role data</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4467</span><span>·</span><span>Business Intelligence</span></small>",Investigate user-role data,BUS-4467,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4467
7,"<span class=""sc-kjKmiN iWKWoC"">Zendesk API reopens on async report</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4466</span><span>·</span><span>Business Intelligence</span></small>",Zendesk API reopens on async report,BUS-4466,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4466
8,"<span class=""sc-kjKmiN iWKWoC"">Scope work for Conversocial data reports</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4411</span><span>·</span><span>Business Intelligence</span></small>",Scope work for Conversocial data reports,BUS-4411,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4411
9,"<span class=""sc-kjKmiN iWKWoC"">Investigate Zendesk API for further metrics to ingest</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4350</span><span>·</span><span>Business Intelligence</span></small>",Investigate Zendesk API for further metrics to ingest,BUS-4350,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4350
10,"<span class=""sc-kjKmiN iWKWoC"">BOH Menu Typing: Create Delivery queue</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4039</span><span>·</span><span>Business Intelligence</span></small>",BOH Menu Typing: Create Delivery queue,BUS-4039,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4039
11,"<span class=""sc-kjKmiN iWKWoC"">BOH Menu Typing: Create Creations queue</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-4038</span><span>·</span><span>Business Intelligence</span></small>",BOH Menu Typing: Create Creations queue,BUS-4038,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4038
12,"<span class=""sc-kjKmiN iWKWoC"">Device Support Dashboard: Report to identify/incorporate amount of calls made (liveops)</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-3999</span><span>·</span><span>Business Intelligence</span></small>",Device Support Dashboard: Report to identify/incorporate amount of calls made (liveops),BUS-3999,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-3999
13,"<span class=""sc-kjKmiN iWKWoC"">Device Support Dashboard: Time spent on ticket </span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-3997</span><span>·</span><span>Business Intelligence</span></small>",Device Support Dashboard: Time spent on ticket ,BUS-3997,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-3997
14,"<span class=""sc-kjKmiN iWKWoC"">Envision UK Ops Data Model</span>","<small class=""sc-dwLhYX iVsqEk""><span>BUS-3854</span><span>·</span><span>Business Intelligence</span></small>",Envision UK Ops Data Model,BUS-3854,·,Business Intelligence,Waiting for support,https://justeattakeaway.atlassian.net/browse/BUS-3854
